"id","slasher_id","slashee_id","relation_tag"
6156,61165,61163,"xsub"
6157,61185,61183,"xsub"
6158,61201,61196,"xsub"
6159,61207,61201,"xsub"
6160,61225,61217,"xsub"
6161,61237,61234,"xsub"
6162,61240,61237,"xsub"
6163,61259,61257,"xsub"
6164,61271,61265,"xsub"
6165,61272,61271,"xsub"
6166,61278,61263,"xsub"
6167,61291,61286,"xsub"
6168,61295,61288,"xsub"
6169,61301,61296,"xsub"
6170,61305,61297,"xsub"
6171,61311,61317,"xsub"
6172,61312,61316,"xsub"
6173,61322,61324,"xsub"
6174,61358,61355,"xsub"
6175,61370,61367,"xsub"
6176,61371,61369,"obj"
6177,61375,61379,"xsub"
6178,61378,61367,"xsub"
6179,61386,61367,"xsub"
6180,61399,61395,"xsub"
6181,61413,61412,"xsub"
6182,61422,61427,"xsub"
6183,61436,61433,"xsub"
6184,61443,61441,"xsub"
6185,61445,61437,"pid"
6186,61446,61452,"xsub"
6187,61462,61461,"xsub"
6188,61465,61462,"xsub"
6189,61467,61461,"xsub"
6190,61470,61461,"xsub"
6191,61473,61474,"xsub"
6192,61476,61475,"xsub"
6193,61488,61477,"xsub"
6194,61491,61477,"xsub"
6195,61504,61503,"xsub"
6196,61505,61502,"xsub"
6197,61509,61513,"xsub"
6198,61523,61520,"xsub"
6199,61528,61524,"xsub"
6200,61531,61529,"xsub"
6201,61533,61526,"pid"
6202,61542,61544,"xsub"
6203,61556,61561,"xsub"
6204,61562,61561,"xsub"
6205,61563,61562,"xsub"
6206,61571,61574,"xsub"
6207,61586,61571,"xadv"
6208,61586,61574,"sub"
6209,61602,61603,"xsub"
6210,61603,61599,"obj"
6211,61619,61606,"sub"
6212,61619,61612,"pid"
6213,61641,61643,"xsub"
6214,61648,61650,"obj"
6215,61657,61650,"xsub"
6216,61658,61643,"xsub"
6217,61661,61662,"xsub"
6218,61692,61689,"xsub"
6219,61707,61711,"xsub"
6220,61716,61718,"xsub"
6221,61718,61711,"sub"
6222,61730,61735,"xsub"
6223,61734,61735,"xsub"
6224,61753,61748,"sub"
6225,61764,61763,"xsub"
6226,61765,61769,"xsub"
6227,61771,61772,"xsub"
6228,61772,61769,"xsub"
6229,61773,61778,"xsub"
6230,61778,61756,"sub"
6231,61800,61785,"obl"
6232,61800,61787,"sub"
6233,61800,61790,"obj"
6234,61803,61792,"sub"
6235,61807,61805,"xsub"
6236,61810,61805,"xsub"
6237,61819,61805,"sub"
6238,61819,61807,"xadv"
6239,61819,61810,"xadv"
6240,61836,61832,"xsub"
6241,61837,61827,"xsub"
6242,61839,61838,"xsub"
6243,61845,61827,"xsub"
6244,61846,61825,"pid"
6245,61853,61852,"xsub"
6246,61856,61861,"xsub"
6247,61860,61861,"xsub"
6248,61880,61879,"xsub"
6249,61889,61871,"adv"
6250,61889,61879,"sub"
6251,61897,61891,"xsub"
6252,61922,61917,"pid"
6253,61922,61919,"obj"
6254,61923,61936,"xsub"
6255,61936,61931,"obj"
6256,61937,61943,"xsub"
6257,61950,61947,"xsub"
6258,61972,61967,"xsub"
6259,61981,61982,"xsub"
6260,61987,61967,"xsub"
6261,62001,62004,"xsub"
6262,62006,62004,"sub"
6263,62010,62006,"xsub"
6264,62019,62004,"sub"
6265,62020,62019,"xsub"
6266,62037,62042,"xsub"
6267,62057,62058,"xsub"
6268,62058,62055,"xsub"
6269,62064,62063,"xsub"
6270,62097,62102,"xsub"
6271,62113,62115,"xsub"
6272,62132,62129,"xsub"
6273,62137,62151,"xsub"
6274,62150,62151,"xsub"
6275,62177,62176,"xsub"
6276,62179,62187,"xsub"
6277,62195,62193,"xsub"
6278,62197,62217,"xsub"
6279,62202,62203,"xsub"
6280,62209,62212,"xsub"
6281,62210,62208,"xsub"
6282,62220,62224,"xsub"
6283,62231,62232,"xsub"
6284,62239,62227,"xsub"
6285,62240,62235,"obj"
6286,62243,62244,"xsub"
6287,62244,62227,"sub"
6288,62261,62259,"xsub"
6289,62267,62268,"xsub"
6290,62274,62270,"xsub"
6291,62275,62270,"xsub"
6292,62296,62301,"xsub"
6293,62315,62307,"xsub"
6294,62323,62307,"xsub"
6295,62330,62332,"xsub"
6296,62349,62344,"xsub"
6297,62350,62352,"xsub"
6298,62360,62352,"pid"
6299,62368,62363,"xsub"
6300,62371,62369,"xsub"
6301,62379,62387,"xsub"
6302,62382,62387,"xsub"
6303,62387,62400,"adv"
6304,62388,62387,"xsub"
6305,62408,62409,"xsub"
6306,62413,62387,"pid"
6307,62424,62418,"xsub"
6308,62438,62435,"xsub"
6309,62456,62448,"pid"
6310,62468,62475,"xsub"
6311,62475,62457,"sub"
6312,62480,62475,"xsub"
6313,62490,62457,"sub"
6314,62498,62500,"xsub"
6315,62500,62457,"sub"
6316,62514,62522,"xsub"
6317,62519,62520,"xsub"
6318,62524,62526,"xsub"
6319,62538,62543,"xsub"
6320,62545,62546,"xsub"
6321,62570,62578,"xsub"
6322,62582,62580,"xsub"
6323,62590,62585,"xsub"
6324,62595,62592,"xsub"
6325,62618,62616,"xsub"
6326,62628,62625,"xsub"
6327,62637,62634,"xsub"
6328,62641,62634,"xsub"
6329,62642,62640,"xsub"
6330,62644,62647,"xsub"
6331,62645,62634,"xsub"
6332,62647,62648,"xsub"
6333,62655,62652,"xsub"
6334,62666,62664,"xsub"
6335,62678,62673,"xsub"
6336,62694,62682,"xsub"
6337,62704,62709,"xsub"
6338,62709,62706,"xsub"
6339,62727,62725,"xsub"
6340,62735,62730,"xsub"
6341,62737,62723,"xsub"
6342,62742,62743,"xsub"
6343,62748,62723,"sub"
6344,62753,62723,"xsub"
6345,62754,62724,"pid"
6346,62763,62770,"xsub"
6347,62764,62762,"xsub"
6348,62775,62762,"obj"
6349,62778,62781,"xsub"
6350,62791,62782,"xsub"
6351,62796,62799,"xsub"
6352,62800,62799,"xsub"
6353,62835,62852,"xsub"
6354,62849,62845,"xsub"
6355,62859,62857,"xsub"
6356,62867,62866,"xsub"
6357,62876,62872,"xsub"
6358,62887,62882,"xsub"
6359,62891,62889,"xsub"
6360,62899,62894,"sub"
6361,62900,62899,"xsub"
6362,62905,62902,"xsub"
6363,62932,62927,"xsub"
6364,62939,62938,"xsub"
6365,62967,62961,"xsub"
6366,62979,62972,"xsub"
6367,62988,62989,"xsub"
6368,62993,62972,"obj"
6369,62993,62974,"pid"
6370,62993,62976,"sub"
6371,63002,62994,"xsub"
6372,63003,63002,"xsub"
6373,63008,63004,"xsub"
6374,63011,63010,"xsub"
6375,63016,63004,"xsub"
6376,63041,63049,"xsub"
6377,63046,63049,"xsub"
6378,63049,63048,"obj"
6379,63056,63055,"xsub"
6380,63057,63056,"xsub"
6381,63069,63071,"xsub"
6382,63103,63102,"xsub"
6383,63120,63118,"xsub"
6384,63134,63101,"pid"
6385,63152,63146,"xsub"
6386,63170,63166,"xsub"
6387,63197,63195,"xsub"
6388,63210,63206,"xsub"
6389,63213,63212,"obj"
6390,63228,63225,"sub"
6391,63229,63228,"xsub"
6392,63232,63230,"xsub"
6393,63250,63247,"xsub"
6394,63256,63253,"xsub"
6395,63269,63268,"xsub"
6396,63271,63273,"xsub"
6397,63279,63238,"sub"
6398,63279,63245,"pid"
6399,63280,63238,"sub"
6400,63280,63245,"pid"
6401,63281,63284,"xsub"
6402,63305,63322,"xsub"
6403,63313,63311,"sub"
6404,63316,63322,"xsub"
6405,63357,63362,"xsub"
6406,63376,63374,"xsub"
6407,63392,63396,"xsub"
6408,63399,63396,"xsub"
6409,63403,63399,"xsub"
6410,63411,63416,"xsub"
6411,63425,63424,"xsub"
6412,63433,63417,"adv"
6413,63452,63456,"xsub"
6414,63456,63450,"xsub"
6415,63467,63447,"xsub"
6416,63468,63456,"pid"
6417,63486,63491,"obj"
6418,63487,63489,"xsub"
6419,63489,63480,"sub"
6420,63489,63491,"obj"
6421,63497,63498,"xsub"
6422,63498,63496,"xsub"
6423,63502,63496,"xsub"
6424,63512,63496,"xsub"
6425,63520,63522,"xsub"
6426,63543,63541,"xsub"
6427,63557,63548,"xsub"
6428,63561,63552,"xsub"
6429,63574,63572,"xsub"
6430,63580,63579,"xsub"
6431,63589,63590,"xsub"
6432,63597,63599,"xsub"
6433,63602,63599,"xsub"
6434,63603,63602,"xsub"
6435,63610,63607,"xsub"
6436,63627,63626,"xsub"
6437,63633,63636,"xsub"
6438,63642,63641,"xsub"
6439,63647,63646,"xsub"
6440,63658,63643,"pid"
6441,63669,63671,"xsub"
6442,63679,63677,"xsub"
6443,63690,63688,"xsub"
6444,63706,63704,"xsub"
6445,63717,63719,"xsub"
6446,63722,63720,"xsub"
6447,63733,63720,"xsub"
6448,63747,63739,"xsub"
6449,63753,63755,"xsub"
6450,63755,63761,"xsub"
6451,63761,63739,"sub"
6452,63800,63790,"xsub"
6453,63819,63786,"sub"
6454,63851,63843,"xsub"
6455,63860,63902,"xsub"
6456,63862,63902,"xsub"
6457,63879,63875,"obj"
6458,63905,63903,"xsub"
6459,63909,63903,"xsub"
6460,63924,63922,"xsub"
6461,63925,63926,"obj"
6462,63929,63930,"xsub"
6463,63930,63917,"xsub"
6464,63933,63931,"xsub"
6465,63953,63947,"xsub"
6466,63957,63942,"adv"
6467,63957,63947,"sub"
6468,63975,63971,"xsub"
6469,63983,63981,"xsub"
6470,63995,63971,"xsub"
6471,63999,63990,"obj"
6472,64018,64019,"xsub"
6473,64019,64014,"obj"
6474,64021,64014,"obj"
6475,64024,64023,"xsub"
6476,64025,64021,"xsub"
6477,64030,64027,"xsub"
6478,64033,64021,"pid"
6479,64037,64040,"xsub"
6480,64052,64051,"xsub"
6481,64068,64069,"xsub"
6482,64069,64051,"sub"
6483,64074,64069,"xsub"
6484,64081,64083,"xsub"
6485,64096,64092,"xsub"
6486,64101,64092,"xsub"
6487,64106,64105,"xsub"
6488,64114,64092,"sub"
6489,64121,64118,"xsub"
6490,64122,64118,"obj"
6491,64130,64129,"xsub"
6492,64139,64143,"xsub"
6493,64143,64142,"xsub"
6494,64154,64156,"xsub"
6495,64163,64162,"xsub"
6496,64166,64162,"xsub"
6497,64171,64172,"xsub"
6498,64172,64162,"sub"
6499,64173,64176,"xsub"
6500,64178,64176,"xsub"
6501,64179,64180,"obj"
6502,64190,64182,"xsub"
6503,64201,64199,"xsub"
6504,64206,64199,"xsub"
6505,64212,64199,"xsub"
6506,64214,64213,"xsub"
6507,64216,64218,"xsub"
6508,64230,64222,"adv"
6509,64239,64232,"xsub"
6510,64244,64249,"xsub"
6511,64272,64277,"xsub"
6512,64289,64277,"xsub"
6513,64299,64297,"xsub"
6514,64327,64325,"xsub"
6515,64328,64332,"xsub"
6516,64361,64347,"xsub"
6517,64365,64364,"xsub"
6518,64377,64395,"xsub"
6519,64378,64377,"xsub"
6520,64382,64383,"xsub"
6521,64395,64383,"pid"
6522,64395,64386,"obj"
6523,64406,64407,"xsub"
6524,64428,64437,"obj"
6525,64450,64452,"xsub"
6526,64452,64447,"sub"
6527,64470,64464,"obj"
6528,64484,64479,"xsub"
6529,64491,64495,"xsub"
6530,64493,64491,"xsub"
6531,64503,64502,"xsub"
6532,64513,64511,"xsub"
6533,64522,64521,"xsub"
6534,64529,64533,"xsub"
6535,64541,64536,"xsub"
6536,64547,64546,"xsub"
6537,64548,64533,"xsub"
6538,64553,64555,"xsub"
6539,64556,64550,"xsub"
6540,64572,64571,"xsub"
6541,64589,64592,"xsub"
6542,64600,64592,"sub"
6543,64616,64621,"xsub"
6544,64623,64621,"xsub"
6545,64632,64649,"xsub"
6546,64648,64649,"xsub"
6547,64654,64649,"xsub"
6548,64666,64665,"xsub"
6549,64675,64672,"xsub"
6550,64680,64683,"xsub"
6551,64684,64686,"xsub"
6552,64702,64705,"xsub"
6553,64705,64694,"xsub"
6554,64714,64709,"xsub"
6555,64725,64724,"xsub"
6556,64747,64746,"xsub"
6557,64762,64760,"xsub"
6558,64765,64766,"xsub"
6559,64766,64763,"xsub"
6560,64770,64772,"xsub"
6561,64778,64770,"xadv"
6562,64778,64772,"sub"
6563,64780,64781,"xsub"
6564,64791,64792,"xsub"
6565,64805,64801,"xsub"
6566,64806,64805,"xsub"
6567,64807,64801,"xsub"
6568,64810,64809,"xsub"
6569,64811,64810,"xsub"
6570,64813,64807,"xsub"
6571,64821,64815,"xsub"
6572,64825,64827,"xsub"
6573,64841,64842,"xsub"
6574,64846,64850,"xsub"
6575,64850,64842,"pid"
6576,64858,64851,"xsub"
6577,64863,64861,"xsub"
6578,64867,64864,"xsub"
6579,64892,64896,"xsub"
6580,64896,64885,"sub"
6581,64923,64921,"xsub"
6582,64934,64929,"xsub"
6583,64957,64954,"xsub"
6584,64974,64969,"xsub"
6585,64988,64986,"xsub"
6586,64989,64988,"xsub"
6587,64990,64989,"xsub"
6588,64993,64991,"xsub"
6589,64996,64983,"pid"
6590,64998,65000,"xsub"
6591,65011,65009,"xsub"
6592,65030,65024,"xsub"
6593,65039,65023,"sub"
6594,65041,65042,"xsub"
6595,65042,65039,"xsub"
6596,65050,65053,"xsub"
6597,65052,65048,"xsub"
6598,65054,65044,"xsub"
6599,65058,65047,"obj"
6600,65084,65081,"xsub"
6601,65085,65084,"xsub"
6602,65089,65091,"xsub"
