"id","title","citation_part","language_tag","author","code","electronic_text_original_url","printed_text_date"
664,"Vita Porphyrii episcopi Gazensis","Marc. Diac.","grc","Marcus Diaconus","tlg2806.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2806:001:70116","5th c."
665,"Historia Armeniae (versio Graeca)","Agathang. Hist.","grc","Agathangelus","tlg2878.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2878:001:256926","5th c."
666,"Cantica","Rom. Mel. Cant.","grc","Romanus Melodus","tlg2881.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2881:001:131991","6th c."
667,"Constitutiones apostolorum (fort. compilatore Juliano Ariano)","Const. Apost.","grc","Constitutiones apostolorum","tlg2894.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2894:001:299851","4th c."
668,"Fragmenta in Matthaeum (in catenis)","Theod. Heracl.","grc","Theodorus Heracleensis vel Theodorus Mopsuestenus","tlg2967.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2967:001:15704","5th c."
669,"e cod. Grottaferrata","Dig. G","grc","Digenes Acritas","tlg3026.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3026:001","10th c."
670,"e cod. Escorialense","Dig. E","grc","Digenes Acritas","tlg3026.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?3026:002","10th c."
671,"Versio Z compilata e codd. T et A","Dig. A","grc","Digenes Acritas","tlg3026.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?3026:003","10th c."
672,"Sub auctore Meletio Vlasto a. 1632","Dig. P.","ell","Digenes Acritas","tlg3026.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?3026:004","17th c."
673,"Ecloga chronographica","Sync.","grc","Georgius Syncellus","tlg3045.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3045:001","9th c."
674,"Annales","Glykas Ann.","grc","Michael Glycas","tlg3047.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3047:001:725698","12th c."
675,"Martyrium sancti Eugenii","Xiphil. Mart. St. Eugen.","grc","Joannes Xiphilinus senior","tlg3057.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?3057:002:25562","11th c."
676,"Breviarium Chronicum","Manass. Chron.","grc","Constantinus Manasses","tlg3074.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?3074:005:108427","12th c."
677,"Liber quinquaginta capitulorum","Neoph. Lib. L Cap.","grc","Neophytus Inclusus","tlg3085.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?3085:005","12th c."
678,"Versus consolatorii ad imperatorem Joannem Vatatzem","Blemm. Poíēm.","grc","Nicephorus Blemmydes","tlg3092.tlg010","http://stephanus.tlg.uci.edu/Iris/Cite?3092:010:1977","c. 1100-c. 1299"
679,"Vita et conversatio Christophori et Macarii","Orest. V. Chris. Macar.","grc","Orestes","tlg3102.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?3102:002","11th c."
680,"Canonarium vel Typicon","Nikon","grc","Nicon","tlg3105.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?3105:004:116600","c. 1000-c. 1199"
681,"Historiae","Theophyl. S. Hist.","grc","Theophylus Simocatta","tlg3130.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?3130:003","7th c."
682,"Epanagoge","Epan.","grc","Epanagoge","tlg3133.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3133:001","9th c."
683,"Epitome historiarum","Zon. Epit.","grc","Joannes Zonaras","tlg3135.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3135:001:1598197","c. 1000-c. 1199"
684,"Historia brevis","Pachym. Hist. Brev.","grc","Georgius Pachymeres","tlg3142.tlg009","http://stephanus.tlg.uci.edu/Iris/Cite?3142:009","c. 1200-c. 1399"
685,"Historia Chronica","Ephr. Aen. Hist.","grc","Ephraem Aeniensis","tlg3170.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?3170:003:40319","c. 1200-c. 1399"
686,"Chronicon sive Maius (partim sub auctore Macario Melisseno)","Ps.-Sphr. Chron.","ell","Pseudo-Sphrantzes","tlg3176.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3176:001","16th c."
687,"Orationes et Panegyrici","Genn. Schol. Or.","grc","Gennadius Scholarius","tlg3195.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3195:001:578216","15th c."
688,"Epistulae CCXVII","Lasc. Theod. Ep.","grc","Theodorus II Ducas Lascaris","tlg3205.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3205:001","13th c."
689,"Epistulae 1–93","Hyrt. Ep. ","grc","Theodorus Hyrtacenus","tlg3206.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?3206:003:19772","c. 1200-c. 1399"
690,"Laudatio ad sanctum David in Thessalonica","Macres Laud.","grc","Macarius Macres","tlg3211.tlg008","http://stephanus.tlg.uci.edu/Iris/Cite?3211:008:22905","15th c."
691,"Peregrinatio Mazaris ad inferos","Maz.","grc","Mazaris","tlg3227.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3227:001:2436","15th c."
692,"Collectio alphabetica","Blastar. Alph.","grc","Matthaeus Blastares","tlg3237.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3237:001","14th c."
693,"Laudatio Andronici II. Palaeologi","Lampen. Laud.","grc","Nicolaus Lampenus","tlg3268.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3268:001","14th c."
694,"e cod. Napol. B.N. III. B.27","Achil. N","grc","Achilleis Byzantina","tlg3275.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3275:001","14th c."
695,"e cod. Oxon. Bodl. Auct. T.5.24","Achil. O","grc","Achilleis Byzantina","tlg3275.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?3275:002","14th c."
696,"Ilias Byzantina","Byz. Il.","grc","Ilias Byzantina","tlg3282.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3282:001:4475","14th c."
697,"Monodia in dominam Mariam","Eugen. Io. Monod. Mar.","grc","Joannes Eugenicus","tlg3287.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?3287:004:3329","c. 1300-c. 1499"
698,"Consultatio intellectus cum sua ipsius anima","Marc. Erem. Cons.","grc","Marcus Eremita","tlg3291.tlg006","http://stephanus.tlg.uci.edu/Iris/Cite?3291:006:1512","6th c."
699,"Homiliae","Philag.","grc","Philagathus","tlg3298.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?3298:001:518065","12th c."
700,"In Aristotelis metaphysica commentaria","Syrian. Metaph.","grc","Syrianus","tlg4017.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?4017:001","5th c."
701,"Historiae","Agath.","grc","Agathias","tlg4024.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?4024:001","6th c."
702,"Theologia Platonica","Procl. Theol. Pl.","grc","Proclus","tlg4036.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?4036:004","5th c."
703,"Institutio theologica","Procl. Inst. Theol.","grc","Proclus","tlg4036.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?4036:005","5th c."
704,"Bibliotheca","Phot. Bibl.","grc","Photius","tlg4040.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?4040:001","9th c."
705,"Translatio Boethii De topicis differentiis","Man. Holob. Trans. Boeth.","grc","Manuel Holobolus","tlg4065.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?4065:005","13th c."
706,"Orationes in imperatorem Michaelem Palaeologum","Man. Holob. Or. Palaeol.","grc","Manuel Holobolus","tlg4065.tlg008","http://stephanus.tlg.uci.edu/Iris/Cite?4065:008:115844","c. 1200-c. 1399"
707,"Commentarii ad Homeri Iliadem","Eust. Thess. Comm. Il.","grc","Eustathius Thessalonicensis","tlg4083.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?4083:001:401991","12th c."
708,"De capta Thessalonica","Eust. Thess. Capt. Thess.","grc","Eustathius Thessalonicensis","tlg4083.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?4083:004:125251","12th c."
709,"Commentarium in Dionysii periegetae orbis descriptionem","Eust. Thess. Comm. Dionys.","grc","Eustathius Thessalonicensis","tlg4083.tlg006","http://stephanus.tlg.uci.edu/Iris/Cite?4083:006:222787","12th c."
710,"Lexicon (Α–Ο)","Hsch.","grc","Hesychius","tlg4085.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?4085:002","6th c."
711,"Interpretatio in Jeremiam","Theod. Interp. Jer.","grc","Theodoretus","tlg4089.tlg026","http://archive.org/stream/PatrologiaGraeca/Patrologia%20Graeca%20Vol.%20081#page/n269/mode/2up","5th c."
712,"Interpretatio in Danielem","Theod. Interp. Dan.","grc","Theodoretus","tlg4089.tlg028","http://archive.org/stream/PatrologiaGraeca/Patrologia%20Graeca%20Vol.%20081#page/n693/mode/2up","5th c."
713,"Interpretatio in xiv epistulas sancti Pauli","Theod. Interp. Ep. St. Paul.","grc","Theodoretus","tlg4089.tlg030","http://stephanus.tlg.uci.edu/Iris/Cite?4089:030","5th c."
714,"Commentarii in Joannem","Cyril. Alex. Comm. Jo.","grc","Cyrillus Alexandrinus","tlg4090.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?4090:002:410545","5th c."
715,"De sancta trinitate dialogi i-vii","Cyril. Alex. Dial. Trin.","grc","Cyrillus Alexandrinus","tlg4090.tlg023","http://stephanus.tlg.uci.edu/Iris/Cite?4090:023","5th c."
716,"Collectio dictorum veteris testamenti [Sp.]","Cyril. Alex. Coll. Dict.","grc","Cyrillus Alexandrinus","tlg4090.tlg124","http://stephanus.tlg.uci.edu/Iris/Cite?4090:124","5th c."
717,"Epistulae paschales sive Homiliae paschales (epist. 12-17)","Cyril. Alex. Ep. Pasch.","grc","Cyrillus Alexandrinus","tlg4090.tlg179","http://stephanus.tlg.uci.edu/Iris/Cite?4090:179:7448","5th c."
718,"Additamenta in Etymologicum Gudianum (ἀάλιον-ζειαί) (e codd. Vat. Barber. gr. 70 [olim Barber. I 70] + Paris. suppl. gr. 172)","Et. Gud. Add.","grc","Etymologicum Gudianum","tlg4098.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?4098:003","11th c."
719,"Tractatus ad Eulogium (sub nomine Nili Ancyrani)","Evagr. Tract.","grc","Evagrius","tlg4110.tlg020","http://archive.org/stream/PatrologiaGraeca/Patrologia%20Graeca%20Vol.%20079#page/n579/mode/2up","4th c."
720,"Commentarius in hexaemeron [Sp.]","Eust. Comm. Hex.","grc","Eustathius","tlg4117.tlg022","http://archive.org/stream/PatrologiaGraeca/Patrologia%20Graeca%20Vol.%20018#page/n363/mode/2up","4th c."
